No.,Lims No.,物质名称(英文),物质名称(中文),列入日期,EC 号码,CAS 号码,可能用途,Possible Applications,Natural textiles,Synthetic textiles,Leather,Metal,Plastic|polymers|foam,Wood,Paper,Ceramic,Glass,Dye|Pigment|Ink|Paint,Adhesives|Sealants,Battery,Electronic components,*Remarks,Organic|Inorganic,Chemical Classification
1,1,"4,4'-Diaminodiphenylmethane (MDA)","4,4'-二氨基二苯基甲烷",10/28/2008,202-974-4,101-77-9,用作固化剂于环氧树脂和粘合剂; 用作制造高性能聚合物; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料,"Hardener for epoxy resins and adhesives, intermediate in manufacture of high performance polymers. This amine is restricted under REACH Annex XVII, entry 43 for textiles and leather.",Y ,Y ,Y ,N,Y ,N,N,N,N,Y,N,N,N,,Organic,Aromatic amines
2,2,Bis(tributyltin)oxide (TBTO), 三丁基氧化锡,10/28/2008,200-268-0,56-35-9,抗菌剂、用于聚合物制品如地板、瓷砖、地毯、纺织品、羽毛和绒毛的处理,"Antimicrobial agents, biocidal products, used in polymer products for flooring, tiles, carpeting, textiles , treatment of feather and down.",Y ,Y ,N,N,Y ,N,N,N,N,N,N,N,N,,Inorganic,Organotin compounds
3,3,Benzyl butyl phthalate (BBP),邻苯二甲酸丁苄酯,10/28/2008,201-622-7,85-68-7,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花,"Used as plasticiser for PVC, synthetic leather. It can be found in plastisol, flock printing.",Y*,Y*,N,N,Y ,N,N,N,N,Y ,Y ,N,N,Textiles with plastisol print,Organic,Phthalates
4,4,Anthracene,蒽,10/28/2008,204-371-1,120-12-7,用于制造烟火产品、木浆生产的催化剂、蒽醌染料的基材,"Manufacture of pyrotechnic products, catalyst in wood pulp production, base material for anthraquinone dyes.",N,N,N,N,N,Y ,N,N,N,Y ,N,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
5,5,Triethyl arsenate,三乙基砷酸酯,10/28/2008,427-700-2,15606-95-8,用于在生产半导体的中间体。,As an intermediate in the production of semi-conductors.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Inorganic,As compounds
6,6,"Hexabromocyclododecane (HBCDD) and all major diastereoisomers identified (α – HBCDD, β-HBCDD, γ-HBCDD)",六溴环十二烷,10/28/2008,"247-148-4,
221-695-9","25637-99-4, 
3194-55-6 
(134237-50-6)
(134237-51-7)
(134237-52-8)","作阻燃剂用于EPS（包装材料）, XPS（建筑材料中的绝缘板）, HIPS（电子电气产品的外壳） 软垫家具的布料, 窗帘和地毯用塑料衬底","Flame retardant for expandable polystyrene EPS (packaging material), extruded polystyrene XPS (insulation board in construction), high impact polystyrene HIPS (housing for E&E products), upholstery textiles, curtains and carpet with plastic backing",Y*,Y*,N,N,Y*,N,N,N,N,N,N,N,N,"Textiles: upholstery textiles, curtains and carpet with plastic backing

Plastic: High impact polystyrene HIPS (housing for E&E products)",Organic,Halogenated hydrocarbons 
7,7,"5-tert-butyl-2,4,6-trinitro-m-xylene (musk xylene)", 二甲苯麝香,10/28/2008,201-329-4,81-15-2,香氛成分,Fragrance ingredient.,N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Benzene Derivatives 
8,8,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins, SCCPs)",短链氯化石蜡,10/28/2008,287-476-5,85535-84-8,"作为阻燃剂用在软垫家具的布料,地毯用塑料衬底纺织品、橡胶、涂料、密封胶和粘合剂; 皮革加脂剂，PVC增塑剂","Flame retardant in upholstery textiles, carpet with plastic backing, rubber, paints, sealant, adhesives. Fat liquoring agent for leather, secondary plasticizer for PVC.",Y*,Y*,Y ,N,Y ,N,N,N,N,Y*,Y ,N,N,"Textiles: upholstery textiles, carpet with plastic backing
Synthetic textiles: found in synthetic leather, 
Dyes and pigment: Industrial plasticised paint, rubber coating ",Organic,Halogenated hydrocarbons 
9,9,Cobalt dichloride,氯化钴,2011/06/20 - 2008/10/28,231-589-4,7646-79-9,用于硅胶指示剂、 回收废铁、 隐形油墨、涂料、油漆干燥剂、清漆、印刷油墨、轮胎添加剂,"Silica gel indicator,  recycling scrap metal, invisible ink, drying agent in paints, lacquers, varnishes, printing inks, additive in tyres.",N,N,N,N,Y,N,N,N,N,Y,N,N,N,,Inorganic,"Co, Cl"
10,10,Sodium dichromate,重铬酸钠,10/28/2008,234-190-3,"7789-12-0, 10588-01-9",用作染料、媒染剂; 用于制造铬颜料,"Agent used in dyeing, mordant agent, manufacture of chromium pigments",Y ,Y ,Y ,N,N,N,N,N,N,Y ,N,N,N,,Inorganic,"Cr, Na"
