""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项"
"STD BLK","空白","Al 396.152","Al","0.00000","ppm","1193.99757","3"
"STD BLK","空白","Al 394.401","Al(ref)","0.00000","ppm","748.03793","3"
"STD BLK","空白","Al 396.152","Al(ref)","0.00000","mg/L","1194.00000","3"
"STD BLK","空白","As 188.980","As","0.00000","ppm","31.14887","3"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","31.14887","3"
"STD BLK","空白","As 193.696","As(ref)","0.00000","ppm","33.77727","3"
"STD BLK","空白","As 197.198","As(ref)","0.00000","ppm","15.02464","3"
"STD BLK","空白","As 228.812","As(ref)","0.00000","ppm","56.30795","3"
"STD BLK","空白","As 234.984","As(ref)","0.00000","ppm","83.20109","3"
"STD BLK","空白","B 208.956","B","0.00000","ppm","24.28780","3"
"STD BLK","空白","B 208.956","B(ref)","0.00000","ppm","24.00000","3"
"STD BLK","空白","B 249.678","B(ref)","0.00000","ppm","71.22097","3"
"STD BLK","空白","B 249.772","B(ref)","0.00000","ppm","118.27413","3"
"STD BLK","空白","Ba 233.527","Ba","0.00000","ppm","140.56009","3"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","ppm","104.48454","3"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","ppm","140.56009","3"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","ppm","3245.35384","3"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","ppm","2768.92439","3"
"STD BLK","空白","Ca 396.847","Ca","--","ppm","-","3"
"STD BLK","空白","Ca 317.933","Ca(ref)","0.00000","ppm","14027.14485","3"
"STD BLK","空白","Ca 393.366","Ca(ref)","0.00000","ppm","1099303.04433","3"
"STD BLK","空白","Ca 396.847","Ca(ref)","0.00000","ppm","1591588.92068","3"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","ppm","38107.26404","3"
"STD BLK","空白","Cd 228.802","Cd","0.00000","ppm","42.25159","3"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","ppm","10.95282","3"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","ppm","17.40161","3"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","ppm","42.25159","3"
"STD BLK","空白","Cd 326.105","Cd(ref)","0.00000","ppm","215.27089","3"
"STD BLK","空白","Cd 508.582","Cd(ref)","0.00000","ppm","60.16367","3"
"STD BLK","空白","Co 237.863","Co","0.00000","ppm","24.52549","3"
"STD BLK","空白","Co 228.615","Co(ref)","0.00000","ppm","17.53445","3"
"STD BLK","空白","Co 230.786","Co(ref)","0.00000","ppm","6.08872","3"
