Concentration Analysis Report,,,
,,,
Report time                      ,08-13-20 14:35,,
Method                           ,D:\UV-VIS\Method\Cr (VI)- ISO17075.MCN                                             ,,
Batch name                       ,D:\UV-VIS\Concentration\2020\20200813-CR.BCN                                       ,,
Application                      ,Concentration 4.20(468)                                                            ,,
Operator                         ,AN                                                                                 ,,
,,,
Instrument Settings,,,
Instrument                       ,Cary 100                                                                           ,,
Instrument version no.           ,12,,
Wavelength (nm)                  ,540,,
Ordinate Mode                    ,Abs                                                                                ,,
SBW (nm)                         ,1.5,,
Ave Time (sec)                   ,0.1,,
Beam mode                        ,Double auto select                                                                 ,,
Beam interchange                 ,Normal                                                                             ,,
Replicates                       ,1,,
Standard/Sample averaging        ,OFF                                                                                ,,
Weight and volume corrections    ,OFF                                                                                ,,
Fit type                         ,Linear                                                                             ,,
Min R2                           ,0.95,,
Concentration units              ,mg/L                                                                               ,,
,,,
Comments:,,,
,,,
Calibration,,,
Collection time                  ,08-13-20 14:09,,
,,,
      Standard       ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
Std 1                ,0.003,    ,0.0132
Std 2                ,0.008,    ,0.0357
Std 3                ,0.02,    ,0.0827
Std 4                ,0.04,    ,0.1662
Std 5                ,0.06,    ,0.2482
Std 6                ,0.08,    ,0.3301
,,,
Calibration eqn                ,Abs = 4.10968*Conc +0.00150                                                      ,,
Correlation Coefficient        ,0.99996,,
Calibration time               ,08-13-20 14:35,,
,,,
Analysis,,,
Collection time                ,08-13-20 14:33,,
ReCalculation Time             ,08-13-20 14:35,,
,,,
       Sample        ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
BLK                  ,-0.001,    ,-0.0022
BLK+DPC              ,0,    ,0.0006
BS                   ,0,    ,0.0002
BS+DPC               ,0.041,    ,0.1687
B 11677/1            ,0,    ,0.0002
B 11677/1+D          ,0.001,    ,0.0044
12094/2              ,-0.001,    ,-0.0007
12094/2+D            ,0,    ,0.0028
12057/2              ,0,    ,0
12057/2+D            ,0,    ,0.0031
12067/2              ,0,    ,0.0006
12067/2+D            ,0,    ,0.0009
12096/2              ,0,    ,0.001
12096/2+D            ,0,    ,0.0034
A 11849/13           ,0.002,    ,0.0078
A 11849/13+D         ,0.016,    ,0.0663
A 11849/14           ,0.002,    ,0.0108
A 11849/14+D         ,0.008,    ,0.0341
A 11849/13?????????? ,0.001,    ,0.0058
A 11849/13+D         ,0.021,    ,0.089
A 11849/14????       ,0.003,    ,0.0143
A 11849/14+D         ,0.009,    ,0.0386
QC                   ,0.038,    ,0.1586
B 11677/1+S          ,0.032,    ,0.1332
12094/2+S            ,0.032,    ,0.1337
12057/2+S            ,0.033,    ,0.1352
12067/2+S            ,0.033,    ,0.1362
12096/2+S            ,0.033,    ,0.1367
A 11849/13+S         ,0.049, R  ,0.2011
A 11849/14+S         ,0.042,    ,0.1749
A 11849/13+S????     ,0.055, R  ,0.2292
A 11849/14+S????     ,0.043, R  ,0.1798
QC                   ,0.04, R  ,0.1653
,,,
Results Flags Legend,,,
U = Uncalibrated               ,O = Overrange                                                                    ,,
N = Not used in calibration    ,R = Repeat reading                                                               ,,
