Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weight or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,9459.12,9566.98,9543.64,9266.74,,,,1.8,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Cr,chromium,52,72,,,0.000,97.78,123.34,86.67,83.34,,,,22.7,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Mn,manganese,55,45,,,0.000,63.34,46.67,86.67,56.67,,,,32.9,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Co,cobalt,59,45,,,0.000,83.34,100.00,76.67,73.34,,,,17.4,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Ni,nickel,60,45,,,0.000,6077.12,6148.29,6001.52,6081.55,,,,1.2,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Cu,copper,63,72,,,0.000,377.80,396.68,333.35,403.36,,,,10.2,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,9290.15,9360.19,9366.84,9143.42,,,,1.4,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,2.22,0.00,6.67,0.00,,,,173.2,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Cd,cadmium,111,115,,,0.000,0.00,0.00,0.00,0.00,,,,0.0,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,In,indium,115,,,,0.000,93853.29,94461.99,93279.96,93817.93,,,,0.6,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Sb,antimony,121,115,,,0.000,1.11,3.33,0.00,0.00,,,,173.2,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Ba,barium,137,115,,,0.000,13.33,13.33,16.67,10.00,,,,25.0,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,[Hg],mercury,200,VIS,,,0.000,5.55,3.33,0.00,13.33,,,,124.9,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Hg,mercury,201,209,,,0.000,4.44,10.00,3.33,0.00,,,,114.6,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,[Hg],mercury,202,VIS,,,0.000,4.45,0.00,6.67,6.67,,,,86.6,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Pb,lead,208,209,,,0.000,303.35,306.68,336.68,266.68,,,,11.6,ug/L
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,289569.51,285810.27,289108.28,293789.97,,,,1.4,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,2,Ge,germanium,72,,,,0.000,16301.38,16150.01,16447.15,16306.99,,,,0.9,
WASH,6/6/2022 上午 11:49:03,1,001SMPL.d,20220606-1 EN 16711-2.b,D:\DATA\2022\Jun,ICPMS,N8422A,,1.0,1.0,1,2,Se,selenium,78,72,,,0.000,0.00,0.00,0.00,0.00,,,,0.0,ug/L
