""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项"
"STD BLK","空白","Al 396.152","Al","--","mg/L","-","3"
"STD BLK","空白","Al 394.401","Al(ref)","--","mg/L","-","3"
"STD BLK","空白","Al 396.152","Al(ref)","--","mg/L","-","3"
"STD BLK","空白","As 188.980","As","0.00000","mg/L","12.10500","3"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","12.10500","3"
"STD BLK","空白","As 193.696","As(ref)","0.00000","mg/L","19.17600","3"
"STD BLK","空白","As 197.198","As(ref)","0.00000","mg/L","20.27300","3"
"STD BLK","空白","As 234.984","As(ref)","0.00000","mg/L","82.61100","3"
"STD BLK","空白","B 208.956","B","0.00000","mg/L","31.01400","3"
"STD BLK","空白","B 208.956","B(ref)","0.00000","mg/L","31.01400","3"
"STD BLK","空白","B 249.678","B(ref)","0.00000","mg/L","186.59000","3"
"STD BLK","空白","B 249.772","B(ref)","0.00000","mg/L","357.83000","3"
"STD BLK","空白","Ba 233.527","Ba","0.00000","mg/L","149.41000","3"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","mg/L","102.78000","3"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","mg/L","149.41000","3"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","mg/L","3444.00000","3"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","mg/L","3679.20000","3"
"STD BLK","空白","Ca 396.847","Ca","--","mg/L","-","3"
"STD BLK","空白","Ca 317.933","Ca(ref)","--","mg/L","-","3"
"STD BLK","空白","Ca 393.366","Ca(ref)","0.00000","mg/L","1049500.00000","3"
"STD BLK","空白","Ca 396.847","Ca(ref)","0.00000","mg/L","1554000.00000","3"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","mg/L","38533.00000","3"
"STD BLK","空白","Cd 228.802","Cd","0.00000","mg/L","50.26600","3"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","mg/L","19.69800","3"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","mg/L","19.23300","3"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","mg/L","50.26600","3"
"STD BLK","空白","Cd 326.105","Cd(ref)","0.00000","mg/L","197.96000","3"
"STD BLK","空白","Cd 508.582","Cd(ref)","0.00000","mg/L","20.87900","3"
"STD BLK","空白","Co 237.863","Co","0.00000","mg/L","10.29500","3"
"STD BLK","空白","Co 228.615","Co(ref)","0.00000","mg/L","27.87500","3"
"STD BLK","空白","Co 230.786","Co(ref)","0.00000","mg/L","14.01600","3"
"STD BLK","空白","Co 237.863","Co(ref)","0.00000","mg/L","10.29500","3"
"STD BLK","空白","Cr 267.716","Cr","0.00000","mg/L","478.61000","3"
"STD BLK","空白","Cr 205.560","Cr(ref)","0.00000","mg/L","100.79000","3"
"STD BLK","空白","Cr 206.158","Cr(ref)","0.00000","mg/L","19.98000","3"
"STD BLK","空白","Cr 267.716","Cr(ref)","0.00000","mg/L","478.61000","3"
"STD BLK","空白","Cu 327.395","Cu","0.00000","mg/L","5019.80000","3"
"STD BLK","空白","Cu 213.598","Cu(ref)","0.00000","mg/L","793.66000","3"
"STD BLK","空白","Cu 324.754","Cu(ref)","0.00000","mg/L","6681.50000","3"
"STD BLK","空白","Cu 327.395","Cu(ref)","0.00000","mg/L","5019.80000","3"
"STD BLK","空白","Fe 238.204","Fe","--","mg/L","-","3"
"STD BLK","空白","Fe 234.350","Fe(ref)","0.00000","mg/L","3043.50000","3"
"STD BLK","空白","Fe 238.204","Fe(ref)","0.00000","mg/L","6600.70000","3"
"STD BLK","空白","Fe 259.940","Fe(ref)","0.00000","mg/L","3288.00000","3"
"STD BLK","空白","Hg 184.887","Hg","0.00000","mg/L","9.73540","3"
"STD BLK","空白","Hg 184.887","Hg(ref)","0.00000","mg/L","9.73540","3"
"STD BLK","空白","Hg 194.164","Hg(ref)","0.00000","mg/L","15.30800","3"
"STD BLK","空白","Hg 253.652","Hg(ref)","0.00000","mg/L","19.65600","3"
"STD BLK","空白","K 766.491","K","--","mg/L","-","3"
"STD BLK","空白","K 404.414","K(ref)","0.00000","mg/L","-3281.60000","3"
"STD BLK","空白","K 404.721","K(ref)","0.00000","mg/L","8.85290","3"
"STD BLK","空白","K 693.876","K(ref)","0.00000","mg/L","14768.00000","3"
"STD BLK","空白","K 766.491","K(ref)","0.00000","mg/L","21832.00000","3"
"STD BLK","空白","K 769.897","K(ref)","0.00000","mg/L","47864.00000","3"
"STD BLK","空白","Mg 279.553","Mg","0.00000","mg/L","25588.00000","3"
"STD BLK","空白","Mg 279.553","Mg(ref)","0.00000","mg/L","25588.00000","3"
"STD BLK","空白","Mg 279.800","Mg(ref)","0.00000","mg/L","111.48000","3"
"STD BLK","空白","Mg 280.270","Mg(ref)","0.00000","mg/L","5981.20000","3"
"STD BLK","空白","Mg 285.213","Mg(ref)","0.00000","mg/L","892.24000","3"
"STD BLK","空白","Mn 257.610","Mn","0.00000","mg/L","373.80000","3"
"STD BLK","空白","Mn 257.610","Mn(ref)","0.00000","mg/L","373.80000","3"
"STD BLK","空白","Mn 259.372","Mn(ref)","0.00000","mg/L","203.67000","3"
"STD BLK","空白","Mn 260.568","Mn(ref)","0.00000","mg/L","34.51100","3"
"STD BLK","空白","Mo 201.512","Mo","0.00000","mg/L","32.85100","3"
"STD BLK","空白","Mo 201.512","Mo(ref)","0.00000","mg/L","32.85100","3"
"STD BLK","空白","Mo 202.032","Mo(ref)","0.00000","mg/L","86.69000","3"
"STD BLK","空白","Mo 204.598","Mo(ref)","0.00000","mg/L","64.88800","3"
"STD BLK","空白","Na 589.592","Na","0.00000","mg/L","57203.00000","3"
"STD BLK","空白","Na 568.263","Na(ref)","0.00000","mg/L","16658.00000","3"
"STD BLK","空白","Na 568.821","Na(ref)","0.00000","mg/L","303.22000","3"
"STD BLK","空白","Na 588.995","Na(ref)","0.00000","mg/L","138100.00000","3"
"STD BLK","空白","Na 589.592","Na(ref)","0.00000","mg/L","57203.00000","3"
"STD BLK","空白","Ni 231.604","Ni","0.00000","mg/L","39.97300","3"
"STD BLK","空白","Ni 216.555","Ni(ref)","0.00000","mg/L","65.27300","3"
"STD BLK","空白","Ni 221.648","Ni(ref)","0.00000","mg/L","23.97700","3"
"STD BLK","空白","Ni 231.604","Ni(ref)","0.00000","mg/L","39.97300","3"
"STD BLK","空白","Pb 220.353","Pb","0.00000","mg/L","6.14990","3"
"STD BLK","空白","Pb 220.353","Pb","0.00000","mg/L","22.09900","3"
"STD BLK","空白","Pb 182.143","Pb(ref)","0.00000","mg/L","18.04500","3"
"STD BLK","空白","Pb 217.000","Pb(ref)","0.00000","mg/L","4.73780","3"
"STD BLK","空白","Pb 220.353","Pb(ref)","0.00000","mg/L","6.14990","3"
"STD BLK","空白","Pb 261.417","Pb(ref)","0.00000","mg/L","20.70600","3"
"STD BLK","空白","Pb 283.305","Pb(ref)","0.00000","mg/L","29.29400","3"
"STD BLK","空白","Pb 363.957","Pb(ref)","0.00000","mg/L","45.39200","3"
"STD BLK","空白","Pb 405.781","Pb(ref)","0.00000","mg/L","63.94300","3"
"STD BLK","空白","Sb 206.834","Sb","0.00000","mg/L","23.25200","3"
"STD BLK","空白","Sb 206.834","Sb(ref)","0.00000","mg/L","23.25200","3"
"STD BLK","空白","Sb 217.582","Sb(ref)","0.00000","mg/L","7.14220","3"
"STD BLK","空白","Sb 231.146","Sb(ref)","0.00000","mg/L","14.42800","3"
"STD BLK","空白","Sc 255.235","Sc","1.00","比值","5036.45","3"
"STD BLK","空白","Sc 335.372","Sc","1.00","比值","43576.87","3"
"STD BLK","空白","Sc 361.383","Sc","1.00","比值","56000.46","3"
"STD BLK","空白","Se 196.026","Se","--","mg/L","-","3"
"STD BLK","空白","Se 196.026","Se(ref)","0.00000","mg/L","16.27400","3"
"STD BLK","空白","Se 203.985","Se(ref)","0.00000","mg/L","12.08100","3"
"STD BLK","空白","Sn 189.925","Sn","0.00000","mg/L","124.99000","3"
"STD BLK","空白","Sn 189.925","Sn(ref)","0.00000","mg/L","124.99000","3"
"STD BLK","空白","Sn 235.485","Sn(ref)","0.00000","mg/L","90.20500","3"
"STD BLK","空白","Sn 283.998","Sn(ref)","0.00000","mg/L","186.60000","3"
