""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项"
"STD BLK","空白","Al 396.152","Al","0.00000","mg/L","936.90907","3"
"STD BLK","空白","Al 394.401","Al(ref)","0.00000","mg/L","711.07615","3"
"STD BLK","空白","Al 396.152","Al(ref)","0.00000","mg/L","936.91000","3"
"STD BLK","空白","As 188.980","As","0.00000","mg/L","32.32260","3"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","32.32260","3"
"STD BLK","空白","As 193.696","As(ref)","0.00000","mg/L","32.38025","3"
"STD BLK","空白","As 197.198","As(ref)","0.00000","mg/L","15.60782","3"
"STD BLK","空白","As 234.984","As(ref)","0.00000","mg/L","88.01510","3"
"STD BLK","空白","B 208.956","B","0.00000","mg/L","50.37257","3"
"STD BLK","空白","B 208.956","B(ref)","0.00000","mg/L","50.00000","3"
"STD BLK","空白","B 249.678","B(ref)","0.00000","mg/L","333.20394","3"
"STD BLK","空白","B 249.772","B(ref)","0.00000","mg/L","617.11294","3"
"STD BLK","空白","Ba 233.527","Ba","0.00000","mg/L","82.49246","3"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","mg/L","79.50886","3"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","mg/L","82.49246","3"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","mg/L","1883.08960","3"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","mg/L","1960.30510","3"
"STD BLK","空白","Ca 396.847","Ca","0.00000","mg/L","1028526.31709","3"
"STD BLK","空白","Ca 317.933","Ca(ref)","0.00000","mg/L","10199.83679","3"
"STD BLK","空白","Ca 393.366","Ca(ref)","0.00000","mg/L","722692.89955","3"
"STD BLK","空白","Ca 396.847","Ca(ref)","0.00000","mg/L","1028526.31709","3"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","mg/L","24490.52440","3"
"STD BLK","空白","Cd 228.802","Cd","0.00000","mg/L","54.20044","3"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","mg/L","14.11022","3"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","mg/L","33.36720","3"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","mg/L","54.20044","3"
"STD BLK","空白","Cd 326.105","Cd(ref)","0.00000","mg/L","193.92989","3"
"STD BLK","空白","Cd 508.582","Cd(ref)","0.00000","mg/L","68.56043","3"
"STD BLK","空白","Co 237.863","Co","0.00000","mg/L","28.49684","3"
"STD BLK","空白","Co 228.615","Co(ref)","0.00000","mg/L","24.90897","3"
"STD BLK","空白","Co 230.786","Co(ref)","0.00000","mg/L","13.05109","3"
"STD BLK","空白","Co 237.863","Co(ref)","0.00000","mg/L","28.49684","3"
"STD BLK","空白","Cr 267.716","Cr","0.00000","mg/L","470.12459","3"
"STD BLK","空白","Cr 205.560","Cr(ref)","0.00000","mg/L","93.88224","3"
"STD BLK","空白","Cr 206.158","Cr(ref)","0.00000","mg/L","34.76637","3"
"STD BLK","空白","Cr 267.716","Cr(ref)","0.00000","mg/L","470.12459","3"
"STD BLK","空白","Cu 327.395","Cu","0.00000","mg/L","237.71698","3"
"STD BLK","空白","Cu 213.598","Cu(ref)","0.00000","mg/L","34.80463","3"
"STD BLK","空白","Cu 324.754","Cu(ref)","0.00000","mg/L","821.15732","3"
"STD BLK","空白","Cu 327.395","Cu(ref)","0.00000","mg/L","237.71698","3"
"STD BLK","空白","Fe 238.204","Fe","0.00000","mg/L","2159.56474","3"
"STD BLK","空白","Fe 234.350","Fe(ref)","0.00000","mg/L","1048.71809","3"
"STD BLK","空白","Fe 238.204","Fe(ref)","0.00000","mg/L","2159.56474","3"
"STD BLK","空白","Fe 259.940","Fe(ref)","0.00000","mg/L","1087.08475","3"
"STD BLK","空白","Hg 184.887","Hg","0.00000","mg/L","9.55952","3"
"STD BLK","空白","Hg 184.887","Hg(ref)","0.00000","mg/L","9.55952","3"
"STD BLK","空白","Hg 194.164","Hg(ref)","0.00000","mg/L","12.79463","3"
"STD BLK","空白","Hg 253.652","Hg(ref)","0.00000","mg/L","15.78160","3"
"STD BLK","空白","K 766.491","K","0.00000","mg/L","2133.30258","3"
"STD BLK","空白","K 404.414","K(ref)","0.00000","mg/L","567.04357","3"
"STD BLK","空白","K 404.721","K(ref)","0.00000","mg/L","10.57749","3"
"STD BLK","空白","K 693.876","K(ref)","0.00000","mg/L","15934.77652","3"
"STD BLK","空白","K 766.491","K(ref)","0.00000","mg/L","2133.30258","3"
"STD BLK","空白","K 769.897","K(ref)","0.00000","mg/L","35555.12143","3"
