Solution Label      	Type	Element             	Flags   	Soln Conc 	Units   	Corr Con  	Units   	Int     	Date    	Time    	NumReps	各次浓度		
test1               	样品	Zr 343.823          	uv      	-0.00350162	mg/L    	-0.00350162	mg/L    	 81.8887	2018/11/20 星期二	10:54:09	      3	-0.00313283	-0.00348416	-0.00388786
test1               	样品	Zr 339.198(ref)     	uv      	-0.00152087	mg/L    	-0.00152087	mg/L    	 31.0049	2018/11/20 星期二	10:54:09	      3	-0.00135461	-0.00177709	-0.0014309
test1               	样品	Zr 267.865(ref)     	uv      	-0.00211621	mg/L    	-0.00211621	mg/L    	 45.1224	2018/11/20 星期二	10:54:09	      3	-0.00249888	-0.00349003	-0.000359737
test1               	样品	Sr 421.552(ref)     	        	 0.0566363	mg/L    	 0.0566363	mg/L    	 89247.7	2018/11/20 星期二	10:54:09	      3	0.0432144	0.0576592	0.0690352
test1               	样品	Sr 460.733          	        	 0.0590626	mg/L    	 0.0590626	mg/L    	 5390.93	2018/11/20 星期二	10:54:09	      3	0.0461587	0.0596037	0.0714252
test1               	样品	Sr 338.071(ref)     	        	 0.0408886	mg/L    	 0.0408886	mg/L    	 154.757	2018/11/20 星期二	10:54:09	      3	0.0318746	0.0435479	0.0472434
test1               	样品	Na 589.592          	unca    	    未校正	mg/L    	    未校正	mg/L    	3.05322E6	2018/11/20 星期二	10:54:09	      3	6.69462	6.70975	6.68653
test1               	样品	Na 568.821(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 3328.53	2018/11/20 星期二	10:54:09	      3	7.66545	7.35314	7.07808
test1               	样品	Na 330.237(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 577.512	2018/11/20 星期二	10:54:09	      3	17.1567	 17.726	18.2664
test1               	样品	Mo 202.032          	uv      	-0.00128295	mg/L    	-0.00128295	mg/L    	 27.8398	2018/11/20 星期二	10:54:09	      3	-0.00461936	-0.00184372	0.00261421
test1               	样品	Mo 204.598(ref)     	uv      	0.00192833	mg/L    	0.00192833	mg/L    	  21.659	2018/11/20 星期二	10:54:09	      3	-0.0043981	0.004854	0.00532908
test1               	样品	Mo 281.615(ref)     	uv      	-0.00481675	mg/L    	-0.00481675	mg/L    	 114.971	2018/11/20 星期二	10:54:09	      3	-0.00976139	-0.00646586	0.00177701
test1               	样品	B 249.772           	x       	   5.34858	mg/L    	   5.34858	mg/L    	  136197	2018/11/20 星期二	10:54:09	      3	5.55195	 5.3927	5.10109
test1               	样品	B 249.678(ref)      	x       	   5.45059	mg/L    	   5.45059	mg/L    	 70224.8	2018/11/20 星期二	10:54:09	      3	 5.6657	5.49458	5.19149
test1               	样品	B 182.577(ref)      	x       	   5.43617	mg/L    	   5.43617	mg/L    	 2390.56	2018/11/20 星期二	10:54:09	      3	5.56451	5.44845	5.29555
test1               	样品	Al 396.152(ref)     	uv      	-0.00573901	mg/L    	-0.00573901	mg/L    	 802.251	2018/11/20 星期二	10:54:09	      3	-0.00390097	-0.00705102	-0.00626503
test1               	样品	Al 236.705          	uv      	-0.0288396	mg/L    	-0.0288396	mg/L    	 23.8038	2018/11/20 星期二	10:54:09	      3	-0.0170718	-0.0276841	-0.0417629
test1               	样品	Al 237.312(ref)     	uv      	-0.0116223	mg/L    	-0.0116223	mg/L    	 39.3213	2018/11/20 星期二	10:54:09	      3	-0.00168417	-0.0151337	-0.0180491
test1               	样品	Cu 327.395          	        	0.00169647	mg/L    	0.00169647	mg/L    	 281.913	2018/11/20 星期二	10:54:09	      3	0.00118992	0.00309808	0.000801415
test1               	样品	Fe 238.204          	unca    	    未校正	mg/L    	    未校正	mg/L    	 274.323	2018/11/20 星期二	10:54:09	      3	-0.162902	-0.166612	-0.166388
test1               	样品	Cu 213.598(ref)     	uv      	0.000571347	mg/L    	0.000571347	mg/L    	 26.9664	2018/11/20 星期二	10:54:09	      3	0.00122605	-3.70979E-5	0.000525085
test1               	样品	Cu 324.754(ref)     	uv      	0.00011941	mg/L    	0.00011941	mg/L    	 459.308	2018/11/20 星期二	10:54:09	      3	0.000206976	0.000172759	-2.15061E-5
test1               	样品	Co 228.615          	uv      	0.000773417	mg/L    	0.000773417	mg/L    	 3.53569	2018/11/20 星期二	10:54:09	      3	0.000764156	0.00162621	-7.0112E-5
test1               	样品	Co 230.786(ref)     	uv      	-0.000496902	mg/L    	-0.000496902	mg/L    	-4.31165	2018/11/20 星期二	10:54:09	      3	0.000517371	-0.00046463	-0.00154345
test1               	样品	Co 237.863(ref)     	uv      	-0.00141835	mg/L    	-0.00141835	mg/L    	-2.70481	2018/11/20 星期二	10:54:09	      3	-0.002066	-0.00177126	-0.000417779
test1               	样品	Co 238.892(ref)     	        	0.00183229	mg/L    	0.00183229	mg/L    	 16.4154	2018/11/20 星期二	10:54:09	      3	0.00195105	0.00124388	0.00230194
test1               	样品	Ba 230.424          	        	0.00100161	mg/L    	0.00100161	mg/L    	  118.88	2018/11/20 星期二	10:54:09	      3	0.000950863	0.00103982	0.00101416
test1               	样品	Ba 233.527(ref)     	        	 0.0012759	mg/L    	 0.0012759	mg/L    	 246.201	2018/11/20 星期二	10:54:09	      3	0.000713583	0.00128618	0.00182794
test1               	样品	Ba 455.403(ref)     	        	0.00123084	mg/L    	0.00123084	mg/L    	 4208.36	2018/11/20 星期二	10:54:09	      3	0.000331367	0.00141388	0.00194728
test1               	样品	Ba 493.408(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 4232.91	2018/11/20 星期二	10:54:09	      3	0.000458086	0.00183872	0.00245046
test1               	样品	Ba 614.171(ref)     	        	 0.0198699	mg/L    	 0.0198699	mg/L    	   13325	2018/11/20 星期二	10:54:09	      3	0.0199474	0.0200577	0.0196047
test1               	样品	Se 196.026          	uv      	-0.0135783	mg/L    	-0.0135783	mg/L    	 1.82582	2018/11/20 星期二	10:54:09	      3	-0.0270544	-0.00534581	-0.00833483
test1               	样品	Se 203.985(ref)     	uv      	-0.0146075	mg/L    	-0.0146075	mg/L    	0.983119	2018/11/20 星期二	10:54:09	      3	-0.0262421	-0.0255588	0.00797822
test1               	样品	As 188.980          	uv      	-0.00255351	mg/L    	-0.00255351	mg/L    	0.436808	2018/11/20 星期二	10:54:09	      3	-0.0130512	0.00182065	0.00357001
test1               	样品	As 193.696(ref)     	uv      	-0.0235963	mg/L    	-0.0235963	mg/L    	 5.32125	2018/11/20 星期二	10:54:09	      3	-0.0164515	-0.0318415	-0.0224961
test1               	样品	As 197.198(ref)     	uv      	 -0.014188	mg/L    	 -0.014188	mg/L    	 0.36409	2018/11/20 星期二	10:54:09	      3	-0.0484366	0.023102	-0.0172294
test1               	样品	As 234.984(ref)     	uv      	-0.0208621	mg/L    	-0.0208621	mg/L    	-4.96211	2018/11/20 星期二	10:54:09	      3	-0.0349931	-0.0504833	0.0228902
test1               	样品	Cd 228.802          	        	0.000952895	mg/L    	0.000952895	mg/L    	 5.42271	2018/11/20 星期二	10:54:09	      3	0.000892411	0.00167677	0.000289501
test1               	样品	Cd 214.439(ref)     	        	0.000463544	mg/L    	0.000463544	mg/L    	 2.45504	2018/11/20 星期二	10:54:09	      3	0.000497331	0.000304817	0.000588484
test1               	样品	Cd 226.502(ref)     	uv      	-0.000267403	mg/L    	-0.000267403	mg/L    	-0.00937907	2018/11/20 星期二	10:54:09	      3	-0.000172478	-0.000216125	-0.000413607
test1               	样品	Cd 326.105(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 87.8534	2018/11/20 星期二	10:54:09	      3	0.174867	0.0280873	0.116042
test1               	样品	Cd 508.582(ref)     	        	 0.0156053	mg/L    	 0.0156053	mg/L    	-47.3893	2018/11/20 星期二	10:54:09	      3	0.00175146	0.0437814	0.00128296
test1               	样品	Cr 267.716          	uv      	-0.0144973	mg/L    	-0.0144973	mg/L    	 46.3401	2018/11/20 星期二	10:54:09	      3	-0.0143198	-0.01441	-0.0147622
test1               	样品	Cr 205.560(ref)     	uv      	-0.0149599	mg/L    	-0.0149599	mg/L    	 1.37228	2018/11/20 星期二	10:54:09	      3	-0.0147106	-0.0167415	-0.0134275
test1               	样品	Cr 206.158(ref)     	uv      	  -0.01744	mg/L    	  -0.01744	mg/L    	 -1.0535	2018/11/20 星期二	10:54:09	      3	-0.0182047	-0.014358	-0.0197574
test1               	样品	Hg 184.887          	uv      	-0.00243858	mg/L    	-0.00243858	mg/L    	 5.16078	2018/11/20 星期二	10:54:09	      3	0.00288596	-0.0040712	-0.00613049
test1               	样品	Hg 194.164(ref)     	        	0.00257303	mg/L    	0.00257303	mg/L    	0.977832	2018/11/20 星期二	10:54:09	      3	0.00372706	0.00210671	0.00188533
test1               	样品	Hg 253.652(ref)     	        	0.00987492	mg/L    	0.00987492	mg/L    	 3.62174	2018/11/20 星期二	10:54:09	      3	0.00895891	0.00747712	0.0131887
test1               	样品	Ni 231.604          	uv      	-0.00190658	mg/L    	-0.00190658	mg/L    	-2.67834	2018/11/20 星期二	10:54:09	      3	-0.00190221	-0.00181573	-0.00200179
test1               	样品	Ni 216.555(ref)     	uv      	-0.00190667	mg/L    	-0.00190667	mg/L    	 0.63386	2018/11/20 星期二	10:54:09	      3	0.000815697	-0.00609112	-0.000444591
test1               	样品	Ni 221.648(ref)     	uv      	 -0.121577	mg/L    	 -0.121577	mg/L    	-100.201	2018/11/20 星期二	10:54:09	      3	-0.119998	-0.119501	-0.125232
test1               	样品	Pb 220.353          	uv      	  -3.93172	mg/L    	  -3.93172	mg/L    	-6329.86	2018/11/20 星期二	10:54:09	      3	-4.75243	-10.7073	3.66453
test1               	样品	Pb 217.000(ref)     	uv      	-0.0311045	mg/L    	-0.0311045	mg/L    	-4.46283	2018/11/20 星期二	10:54:09	      3	-0.00486643	-0.0318024	-0.0566446
test1               	样品	Pb 261.417(ref)     	uv      	  -10.4463	mg/L    	  -10.4463	mg/L    	-7505.28	2018/11/20 星期二	10:54:09	      3	-24.6807	-29.0174	22.3591
test1               	样品	Pb 283.305(ref)     	uv      	  -4.89548	mg/L    	  -4.89548	mg/L    	-7191.79	2018/11/20 星期二	10:54:09	      3	14.5641	-3.77596	-25.4745
test1               	样品	Pb 405.781(ref)     	        	 0.0283635	mg/L    	 0.0283635	mg/L    	 -41.556	2018/11/20 星期二	10:54:09	      3	0.0167976	0.0299572	0.0383357
test1               	样品	Sb 206.834          	uv      	 0.0023027	mg/L    	 0.0023027	mg/L    	 2.02414	2018/11/20 星期二	10:54:09	      3	0.00416295	-0.0081585	0.0109037
test1               	样品	Sb 217.582(ref)     	uv      	 0.0122263	mg/L    	 0.0122263	mg/L    	 2.12979	2018/11/20 星期二	10:54:09	      3	0.0239481	0.0165945	-0.00386388
test1               	样品	Sb 231.146(ref)     	uv      	0.00104508	mg/L    	0.00104508	mg/L    	 15.7419	2018/11/20 星期二	10:54:09	      3	-8.93143E-6	-0.0118071	0.0149512
test1               	样品	Sn 189.925          	uv      	-0.0103068	mg/L    	-0.0103068	mg/L    	0.348555	2018/11/20 星期二	10:54:09	      3	-0.0179122	-0.00773214	-0.00527616
test1               	样品	Sn 235.485(ref)     	uv      	-0.0444015	mg/L    	-0.0444015	mg/L    	 1.43566	2018/11/20 星期二	10:54:09	      3	-0.0409083	-0.0469241	-0.0453722
test1               	样品	Sn 283.998(ref)     	uv      	-0.0174069	mg/L    	-0.0174069	mg/L    	-41.2332	2018/11/20 星期二	10:54:09	      3	-0.0245774	-0.019139	-0.00850426
test1               	样品	Y 324.228(ref)      	        	         0	g/mL    	         0	g/mL    	 35.8511	2018/11/20 星期二	10:54:09	      3	0.00078454	0.000480743	0.00100671
test1               	样品	Y 360.074(ref)      	        	         0	g/mL    	         0	g/mL    	 124.721	2018/11/20 星期二	10:54:09	      3	0.00065832	0.000705336	0.000525774
test1               	样品	Y 371.029(ref)      	        	         0	g/mL    	         0	g/mL    	 46.4076	2018/11/20 星期二	10:54:09	      3	0.000326514	0.000541692	0.000284985
blk                 	样品	Zr 343.823          	uv      	-0.00383731	mg/L    	-0.00383731	mg/L    	 65.1338	2018/11/20 星期二	10:56:57	      3	-0.00337475	-0.00402556	-0.00411162
blk                 	样品	Zr 339.198(ref)     	uv      	-0.00184849	mg/L    	-0.00184849	mg/L    	 19.2591	2018/11/20 星期二	10:56:57	      3	-0.0017589	-0.00189517	-0.0018914
blk                 	样品	Zr 267.865(ref)     	uv      	-0.00315066	mg/L    	-0.00315066	mg/L    	 28.4993	2018/11/20 星期二	10:56:57	      3	-0.00314736	-0.00335205	-0.00295256
blk                 	样品	Sr 421.552(ref)     	        	0.00328788	mg/L    	0.00328788	mg/L    	 9003.56	2018/11/20 星期二	10:56:57	      3	0.00491851	0.00284005	0.00210509
blk                 	样品	Sr 460.733          	        	0.00566561	mg/L    	0.00566561	mg/L    	 590.012	2018/11/20 星期二	10:56:57	      3	0.00758204	0.00434597	0.00506881
blk                 	样品	Sr 338.071(ref)     	uv      	0.00156671	mg/L    	0.00156671	mg/L    	 34.0235	2018/11/20 星期二	10:56:57	      3	0.00430506	-0.000448078	0.000843158
blk                 	样品	Na 589.592          	unca    	    未校正	mg/L    	    未校正	mg/L    	   41931	2018/11/20 星期二	10:56:57	      3	-0.0985074	-0.106405	-0.110446
blk                 	样品	Na 568.821(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 316.431	2018/11/20 星期二	10:56:57	      3	0.170588	0.392078	-0.000512041
blk                 	样品	Na 330.237(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 10.1973	2018/11/20 星期二	10:56:57	      3	-0.863802	-1.06044	-0.571409
blk                 	样品	Mo 202.032          	uv      	-0.0113106	mg/L    	-0.0113106	mg/L    	 8.72048	2018/11/20 星期二	10:56:57	      3	-0.00973083	-0.0105669	-0.0136339
blk                 	样品	Mo 204.598(ref)     	uv      	-0.00821563	mg/L    	-0.00821563	mg/L    	 6.68873	2018/11/20 星期二	10:56:57	      3	-0.0114496	-0.006684	-0.00651325
blk                 	样品	Mo 281.615(ref)     	uv      	-0.0136611	mg/L    	-0.0136611	mg/L    	 23.1396	2018/11/20 星期二	10:56:57	      3	-0.0147019	-0.0133144	-0.0129669
blk                 	样品	B 249.772           	x       	   4.77928	mg/L    	   4.77928	mg/L    	  121735	2018/11/20 星期二	10:56:57	      3	4.94267	4.69051	4.70467
blk                 	样品	B 249.678(ref)      	x       	   4.85377	mg/L    	   4.85377	mg/L    	 62554.2	2018/11/20 星期二	10:56:57	      3	5.02457	 4.7747	4.76203
blk                 	样品	B 182.577(ref)      	x       	   4.82763	mg/L    	   4.82763	mg/L    	 2123.82	2018/11/20 星期二	10:56:57	      3	4.87049	4.91454	4.69787
blk                 	样品	Al 396.152(ref)     	uv      	-0.0193602	mg/L    	-0.0193602	mg/L    	 195.564	2018/11/20 星期二	10:56:57	      3	-0.0196499	-0.0194914	-0.0189394
blk                 	样品	Al 236.705          	uv      	-0.0279198	mg/L    	-0.0279198	mg/L    	 24.6187	2018/11/20 星期二	10:56:57	      3	-0.0321299	-0.0231595	-0.02847
blk                 	样品	Al 237.312(ref)     	uv      	-0.0241815	mg/L    	-0.0241815	mg/L    	 17.7675	2018/11/20 星期二	10:56:57	      3	-0.0177562	-0.0276015	-0.0271868
blk                 	样品	Cu 327.395          	uv      	-0.0034684	mg/L    	-0.0034684	mg/L    	 131.308	2018/11/20 星期二	10:56:57	      3	-0.00326361	-0.00387928	-0.00326231
blk                 	样品	Fe 238.204          	unca    	    未校正	mg/L    	    未校正	mg/L    	 82.7064	2018/11/20 星期二	10:56:57	      3	-0.174968	-0.175081	-0.17497
blk                 	样品	Cu 213.598(ref)     	uv      	-0.00412415	mg/L    	-0.00412415	mg/L    	 10.4548	2018/11/20 星期二	10:56:57	      3	-0.00533146	-0.00300776	-0.00403324
blk                 	样品	Cu 324.754(ref)     	uv      	-0.00547189	mg/L    	-0.00547189	mg/L    	 270.288	2018/11/20 星期二	10:56:57	      3	-0.00479986	-0.00590004	-0.00571575
blk                 	样品	Co 228.615          	uv      	0.00016842	mg/L    	0.00016842	mg/L    	-0.378377	2018/11/20 星期二	10:56:57	      3	0.00105851	0.00114964	-0.00170289
blk                 	样品	Co 230.786(ref)     	uv      	0.00135737	mg/L    	0.00135737	mg/L    	 7.23319	2018/11/20 星期二	10:56:57	      3	0.00252893	0.00167958	-0.000136401
blk                 	样品	Co 237.863(ref)     	uv      	-0.000577374	mg/L    	-0.000577374	mg/L    	 4.84603	2018/11/20 星期二	10:56:57	      3	-0.00225652	-0.00056338	0.00108778
blk                 	样品	Co 238.892(ref)     	        	0.00171469	mg/L    	0.00171469	mg/L    	 15.5245	2018/11/20 星期二	10:56:57	      3	0.00277992	0.00205221	0.000311928
blk                 	样品	Ba 230.424          	uv      	-0.00176494	mg/L    	-0.00176494	mg/L    	 54.3203	2018/11/20 星期二	10:56:57	      3	-0.00153167	-0.00142754	-0.00233561
blk                 	样品	Ba 233.527(ref)     	uv      	-0.00146227	mg/L    	-0.00146227	mg/L    	 117.145	2018/11/20 星期二	10:56:57	      3	-0.00175567	-0.000702498	-0.00192864
blk                 	样品	Ba 455.403(ref)     	uv      	-0.00227167	mg/L    	-0.00227167	mg/L    	 2169.58	2018/11/20 星期二	10:56:57	      3	-0.00251157	-0.00157929	-0.00272415
blk                 	样品	Ba 493.408(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 2139.78	2018/11/20 星期二	10:56:57	      3	-0.00248225	-0.00140506	-0.00274187
blk                 	样品	Ba 614.171(ref)     	uv      	-0.00263493	mg/L    	-0.00263493	mg/L    	 2086.44	2018/11/20 星期二	10:56:57	      3	-0.00272317	-0.00196705	-0.00321456
blk                 	样品	Se 196.026          	uv      	-0.0159034	mg/L    	-0.0159034	mg/L    	  1.2825	2018/11/20 星期二	10:56:57	      3	-0.0108301	-0.0225118	-0.0143684
blk                 	样品	Se 203.985(ref)     	uv      	-0.0111978	mg/L    	-0.0111978	mg/L    	 1.49707	2018/11/20 星期二	10:56:57	      3	-0.0203184	-0.0208822	0.0076072
blk                 	样品	As 188.980          	uv      	-0.00810711	mg/L    	-0.00810711	mg/L    	-1.02009	2018/11/20 星期二	10:56:57	      3	0.00877731	-0.0237961	-0.0093025
blk                 	样品	As 193.696(ref)     	uv      	-0.0211736	mg/L    	-0.0211736	mg/L    	 5.98014	2018/11/20 星期二	10:56:57	      3	-0.0234145	-0.0160505	-0.0240559
blk                 	样品	As 197.198(ref)     	uv      	-0.0252669	mg/L    	-0.0252669	mg/L    	-0.632248	2018/11/20 星期二	10:56:57	      3	-0.00527027	0.00689522	-0.0774256
blk                 	样品	As 234.984(ref)     	uv      	-0.0284599	mg/L    	-0.0284599	mg/L    	-6.67727	2018/11/20 星期二	10:56:57	      3	-0.0160112	-0.0657909	-0.00357744
blk                 	样品	Cd 228.802          	uv      	0.000762311	mg/L    	0.000762311	mg/L    	  3.4644	2018/11/20 星期二	10:56:57	      3	0.00189454	0.000858933	-0.000466541
blk                 	样品	Cd 214.439(ref)     	        	0.00038106	mg/L    	0.00038106	mg/L    	 1.55186	2018/11/20 星期二	10:56:57	      3	0.00010632	9.92967E-5	0.000937562
blk                 	样品	Cd 226.502(ref)     	uv      	3.46448E-5	mg/L    	3.46448E-5	mg/L    	 7.37463	2018/11/20 星期二	10:56:57	      3	0.000219242	8.38869E-5	-0.000199195
blk                 	样品	Cd 326.105(ref)     	unca    	    未校正	mg/L    	    未校正	mg/L    	 49.0999	2018/11/20 星期二	10:56:57	      3	-0.0239915	0.00521515	0.0742278
