Determination start,Method name,ID1.Value,ID2.Value,RS01.Name,RS01.Value,RS02.Name,RS02.Value,Lab TEMP,[DELTA]ph
,,,,,,,,,
2018-11-30 10:55:19 UTC+8,pH Cal,Standard,,,,,,23,0
2018-11-30 10:59:44 UTC+8,pH Measure,CC,,pH,5,T,22.6,,
2018-11-30 11:02:49 UTC+8,pH Measure,BLK,before,pH,5.7,T,22,,
2018-11-30 11:05:54 UTC+8,pH Measure,BLK,after,pH,6.81,T,23,,
2018-11-30 13:05:18 UTC+8,pH Measure,1,27305/1R1,pH,7.41,T,23,,
2018-11-30 13:08:20 UTC+8,pH Measure,1,27305/1R1A,pH,7.42,T,23,,
2018-11-30 13:08:29 UTC+8,pH Measure,1,27305/1R1B,pH,7.42,T,23,,
2018-11-30 13:08:38 UTC+8,pH Measure,2,27307/6,pH,5.92,T,23,,
2018-11-30 13:10:08 UTC+8,pH Measure,2,27307/6A,pH,5.89,T,23,,
2018-11-30 13:11:01 UTC+8,pH Measure,2,27307/6B,pH,5.89,T,23,,
2018-11-30 13:11:08 UTC+8,pH Measure,3,27307/7,pH,5.87,T,23,,
2018-11-30 13:12:11 UTC+8,pH Measure,3,27307/7A,pH,5.88,T,23,,
2018-11-30 13:12:21 UTC+8,pH Measure,3,27307/7B,pH,5.89,T,23,,
2018-11-30 13:13:08 UTC+8,pH Measure,4,27307/8,pH,5.92,T,23,,
2018-11-30 13:13:28 UTC+8,pH Measure,4,27307/8A,pH,5.94,T,23.1,,
2018-11-30 13:14:24 UTC+8,pH Measure,4,27307/8B,pH,5.94,T,23.1,,
2018-11-30 13:14:34 UTC+8,pH Measure,5,27307/9,pH,6.92,T,23.1,,
2018-11-30 13:16:00 UTC+8,pH Measure,5,27307/9A,pH,6.93,T,23.1,,
2018-11-30 13:16:21 UTC+8,pH Measure,5,27307/9B,pH,6.94,T,23.1,,
2018-11-30 13:16:33 UTC+8,pH Measure,6,27307/10,pH,6.96,T,23,,
2018-11-30 13:16:54 UTC+8,pH Measure,6,27307/10A,pH,6.96,T,23,,
2018-11-30 13:17:04 UTC+8,pH Measure,6,27307/10B,pH,6.95,T,23,,
2018-11-30 13:17:10 UTC+8,pH Measure,7,27307/11,pH,6.72,T,23,,
2018-11-30 13:17:58 UTC+8,pH Measure,7,27307/11A,pH,6.7,T,23.1,,
2018-11-30 13:18:54 UTC+8,pH Measure,7,27307/11B,pH,6.7,T,23.1,,
2018-11-30 13:19:00 UTC+8,pH Measure,8,27276/16,pH,6.1,T,22.9,,
2018-11-30 13:20:35 UTC+8,pH Measure,8,27276/16A,pH,6.09,T,22.9,,
2018-11-30 13:20:46 UTC+8,pH Measure,8,27276/16B,pH,6.08,T,22.9,,
2018-11-30 13:21:06 UTC+8,pH Measure,9,27284/2,pH,6.04,T,22.9,,
2018-11-30 13:21:42 UTC+8,pH Measure,9,27284/2A,pH,6.05,T,23,,
2018-11-30 13:21:52 UTC+8,pH Measure,9,27284/2B,pH,6.06,T,23,,
2018-11-30 13:23:36 UTC+8,pH Measure,10,27311/2,pH,6.8,T,22.9,,
2018-11-30 13:24:46 UTC+8,pH Measure,10,27311/2A,pH,6.81,T,22.9,,
2018-11-30 13:24:55 UTC+8,pH Measure,10,27311/2B,pH,6.82,T,22.9,,
2018-11-30 13:25:04 UTC+8,pH Measure,11,27311/3,pH,7.04,T,23,,
2018-11-30 13:26:24 UTC+8,pH Measure,11,27311/3A,pH,7.04,T,23,,
2018-11-30 13:26:31 UTC+8,pH Measure,11,27311/3B,pH,7.05,T,23,,
2018-11-30 13:26:43 UTC+8,pH Measure,12,27311/5,pH,7.45,T,23.1,,
2018-11-30 13:28:03 UTC+8,pH Measure,12,27311/5A,pH,7.55,T,23.1,,
2018-11-30 13:34:00 UTC+8,pH Measure,12,27311/5B,pH,7.55,T,23.1,,
2018-11-30 13:34:06 UTC+8,pH Measure,13,27311/6,pH,6.67,T,23,,
2018-11-30 13:35:04 UTC+8,pH Measure,13,27311/6A,pH,6.61,T,22.9,,
2018-11-30 13:39:38 UTC+8,pH Measure,13,27311/6B,pH,6.6,T,22.9,,
2018-11-30 13:39:45 UTC+8,pH Measure,14,27311/7,pH,6.89,T,23,,
