"工作表导出位置: C:\Users\Admin\Documents\Agilent\ICP Expert\My Results\20181123-1 ICP-Heavy Metal-Fe-FACT.esws"
""
"标签","类型","日期时间","元素","元素标签","标记","未计算的数据","浓度","单位","强度","浓度 SD","浓度 %RSD","强度 SD","强度 %RSD","重量","体积","稀释系数","内标","LIMS ID","自定义","自定义参比","采样日期时间","采样地点","说明","重复项","浓度 重复项 1","浓度 重复项 2","浓度 重复项 3","强度 重复项 1","强度 重复项 2","强度 重复项 3","标记 重复项 1","标记 重复项 2","标记 重复项 3"
"STD BLK","空白","2018/11/23 13:10:15","Al 396.152","Al","","0.00000","0.00000","ppm","907.48936","-","-","38.95516","4.29","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","873.06112","949.77391","899.63303","","",""
"STD BLK","空白","2018/11/23 13:10:15","Al 394.401","Al(ref)","","0.00000","0.00000","ppm","670.96364","-","-","30.06538","4.48","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","657.00340","650.41630","705.47121","","",""
"STD BLK","空白","2018/11/23 13:10:15","As 188.980","As","","0.00000","0.00000","ppm","22.26028","-","-","12.41098","55.75","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","31.74461","8.21392","26.82232","","",""
"STD BLK","空白","2018/11/23 13:10:15","As 193.696","As(ref)","","0.00000","0.00000","ppm","15.29618","-","-","4.31372","28.20","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","10.66076","19.19276","16.03501","","",""
"STD BLK","空白","2018/11/23 13:10:15","As 197.198","As(ref)","","0.00000","0.00000","ppm","18.07255","-","-","17.36464","96.08","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","10.23960","37.97385","6.00421","","",""
"STD BLK","空白","2018/11/23 13:10:15","As 234.984","As(ref)","","0.00000","0.00000","ppm","73.56001","-","-","2.56413","3.49","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","74.54412","75.48630","70.64961","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ba 233.527","Ba","","0.00000","0.00000","ppm","86.48488","-","-","10.06761","11.64","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","76.71940","96.82962","85.90562","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ba 230.424","Ba(ref)","","0.00000","0.00000","ppm","72.22432","-","-","10.50754","14.55","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","60.29443","76.27436","80.10416","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ba 493.408","Ba(ref)","","0.00000","0.00000","ppm","1812.88769","-","-","63.32777","3.49","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","1872.05086","1746.08789","1820.52432","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ba 614.171","Ba(ref)","","0.00000","0.00000","ppm","1753.50699","-","-","29.04836","1.66","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","1780.97714","1723.10308","1756.44075","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cd 228.802","Cd","","0.00000","0.00000","ppm","36.73876","-","-","5.27530","14.36","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","42.80251","33.20483","34.20896","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cd 214.439","Cd(ref)","","0.00000","0.00000","ppm","22.15007","-","-","7.32381","33.06","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","13.98477","28.13907","24.32635","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cd 226.502","Cd(ref)","","0.00000","0.00000","ppm","15.70540","-","-","4.83345","30.78","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","21.21723","13.70912","12.18986","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cd 326.105","Cd(ref)","","0.00000","0.00000","ppm","282.53914","-","-","20.00048","7.08","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","266.68653","305.00987","275.92102","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cd 508.582","Cd(ref)","","0.00000","0.00000","ppm","43.85374","-","-","19.17284","43.72","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","22.18997","50.73486","58.63639","","",""
"STD BLK","空白","2018/11/23 13:10:15","Co 237.863","Co","","0.00000","0.00000","ppm","19.53489","-","-","8.76611","44.87","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","17.57505","29.11503","11.91458","","",""
"STD BLK","空白","2018/11/23 13:10:15","Co 228.615","Co(ref)","","0.00000","0.00000","ppm","25.20066","-","-","5.77999","22.94","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","19.39212","25.25820","30.95167","","",""
"STD BLK","空白","2018/11/23 13:10:15","Co 230.786","Co(ref)","","0.00000","0.00000","ppm","15.81433","-","-","6.44753","40.77","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","23.14033","13.29935","11.00331","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cr 267.716","Cr","","0.00000","0.00000","ppm","388.53609","-","-","3.66422","0.94","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","384.43969","391.50143","389.66716","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cr 205.560","Cr(ref)","","0.00000","0.00000","ppm","78.67868","-","-","3.07800","3.91","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","80.02078","75.15752","80.85775","","",""
