Sample ID,吸光值差,溶度差,回收率
B 11677/1,0.004200000000000001,0.001,96.875%
12094/2,0.0035,0.001,100.0%
12057/2,0.0031,0.0,103.125%
12067/2,0.00030000000000000003,0.0,103.125%
12096/2,0.0024,0.0,103.125%
A 11849/13,0.058499999999999996,0.014,103.125%
A 11849/14,0.023299999999999998,0.006,106.25%
Sample ID,吸光值差,溶度差,回收率
B 11677/1,0.004200000000000001,0.001,96.875%
12094/2,0.0035,0.001,100.0%
12057/2,0.0031,0.0,103.125%
12067/2,0.00030000000000000003,0.0,103.125%
12096/2,0.0024,0.0,103.125%
A 11849/13,0.058499999999999996,0.014,103.125%
A 11849/14,0.023299999999999998,0.006,106.25%
