""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项","浓度 重复项 1","浓度 重复项 2","浓度 重复项 3"
"STD BLK","空白","Al 396.152","Al","0.00000","mg/L","2439.00323","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Al 394.401","Al(ref)","0.00000","mg/L","1154.13725","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Al 396.152","Al(ref)","0.00000","mg/L","2439.00000","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 188.980","As","0.00000","mg/L","12.18531","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","12.18531","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 193.696","As(ref)","0.00000","mg/L","25.73336","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 197.198","As(ref)","0.00000","mg/L","16.79340","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 228.812","As(ref)","0.00000","mg/L","45.44775","3","0.00000","0.00000","0.00000"
"STD BLK","空白","As 234.984","As(ref)","0.00000","mg/L","81.30417","3","0.00000","0.00000","0.00000"
"STD BLK","空白","B 208.956","B","0.00000","mg/L","69.29579","3","0.00000","0.00000","0.00000"
"STD BLK","空白","B 208.956","B(ref)","0.00000","mg/L","69.00000","3","0.00000","0.00000","0.00000"
"STD BLK","空白","B 249.678","B(ref)","0.00000","mg/L","587.33941","3","0.00000","0.00000","0.00000"
"STD BLK","空白","B 249.772","B(ref)","0.00000","mg/L","1135.44952","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ba 233.527","Ba","0.00000","mg/L","80.06280","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","mg/L","59.51881","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","mg/L","80.06280","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","mg/L","1707.02639","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","mg/L","1810.94212","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ca 396.847","Ca","0.00000","mg/L","1001033.75866","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ca 317.933","Ca(ref)","0.00000","mg/L","9488.20655","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ca 393.366","Ca(ref)","0.00000","mg/L","698810.22981","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ca 396.847","Ca(ref)","0.00000","mg/L","1001033.75866","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","mg/L","24353.67771","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Cd 228.802","Cd","0.00000","mg/L","37.44060","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","mg/L","13.69091","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","mg/L","17.81570","3","0.00000","0.00000","0.00000"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","mg/L","37.44060","3","0.00000","0.00000","0.00000"
