""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项"
"STD BLK","空白","Al 396.152","Al","0.00000","mg/L","1127.90000","3"
"STD BLK","空白","Al 394.401","Al(ref)","0.00000","mg/L","790.38000","3"
"STD BLK","空白","Al 396.152","Al(ref)","0.00000","mg/L","1127.90000","3"
"STD BLK","空白","As 188.980","As","0.00000","mg/L","15.53100","3"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","15.53100","3"
"STD BLK","空白","As 193.696","As(ref)","0.00000","mg/L","25.16900","3"
"STD BLK","空白","As 197.198","As(ref)","0.00000","mg/L","7.85680","3"
"STD BLK","空白","As 234.984","As(ref)","0.00000","mg/L","67.26300","3"
"STD BLK","空白","B 208.956","B","0.00000","mg/L","27.03300","3"
"STD BLK","空白","B 208.956","B(ref)","0.00000","mg/L","27.03300","3"
"STD BLK","空白","B 249.678","B(ref)","0.00000","mg/L","71.17400","3"
"STD BLK","空白","B 249.772","B(ref)","0.00000","mg/L","115.45000","3"
"STD BLK","空白","Ba 233.527","Ba","0.00000","mg/L","90.48900","3"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","mg/L","64.68100","3"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","mg/L","90.48900","3"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","mg/L","1843.70000","3"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","mg/L","1712.90000","3"
"STD BLK","空白","Ca 396.847","Ca","0.00000","mg/L","410680.00000","3"
"STD BLK","空白","Ca 317.933","Ca(ref)","0.00000","mg/L","4538.20000","3"
"STD BLK","空白","Ca 393.366","Ca(ref)","0.00000","mg/L","269500.00000","3"
"STD BLK","空白","Ca 396.847","Ca(ref)","0.00000","mg/L","410680.00000","3"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","mg/L","10639.00000","3"
"STD BLK","空白","Cd 228.802","Cd","0.00000","mg/L","665.82000","3"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","mg/L","629.33000","3"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","mg/L","781.18000","3"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","mg/L","665.82000","3"
"STD BLK","空白","Cd 326.105","Cd(ref)","0.00000","mg/L","240.04000","3"
"STD BLK","空白","Cd 508.582","Cd(ref)","0.00000","mg/L","85.32100","3"
"STD BLK","空白","Co 237.863","Co","0.00000","mg/L","22.86300","3"
"STD BLK","空白","Co 228.615","Co(ref)","0.00000","mg/L","37.28100","3"
"STD BLK","空白","Co 230.786","Co(ref)","0.00000","mg/L","6.35520","3"
"STD BLK","空白","Co 237.863","Co(ref)","0.00000","mg/L","22.86300","3"
"STD BLK","空白","Cr 267.716","Cr","0.00000","mg/L","223.84000","3"
"STD BLK","空白","Cr 205.560","Cr(ref)","0.00000","mg/L","45.52800","3"
"STD BLK","空白","Cr 206.158","Cr(ref)","0.00000","mg/L","18.01800","3"
"STD BLK","空白","Cr 267.716","Cr(ref)","0.00000","mg/L","223.84000","3"
"STD BLK","空白","Cu 327.395","Cu","0.00000","mg/L","441.23000","3"
"STD BLK","空白","Cu 213.598","Cu(ref)","0.00000","mg/L","66.12000","3"
"STD BLK","空白","Cu 324.754","Cu(ref)","0.00000","mg/L","1001.40000","3"
"STD BLK","空白","Cu 327.395","Cu(ref)","0.00000","mg/L","441.23000","3"
"STD BLK","空白","Fe 238.204","Fe","0.00000","mg/L","733.34000","3"
"STD BLK","空白","Fe 234.350","Fe(ref)","0.00000","mg/L","385.88000","3"
"STD BLK","空白","Fe 238.204","Fe(ref)","0.00000","mg/L","733.34000","3"
"STD BLK","空白","Fe 259.940","Fe(ref)","0.00000","mg/L","370.08000","3"
"STD BLK","空白","Hg 184.887","Hg","0.00000","mg/L","18.83900","3"
