Solution Label	Type	Element	Soln Conc	Units	强度	重复项
STD BLK	空白	Al	0	mg/L	1127.9	3
STD BLK	空白	Al(ref)	0	mg/L	790.38	3
STD BLK	空白	Al(ref)	0	mg/L	1127.9	3
STD BLK	空白	As	0	mg/L	15.531	3
STD BLK	空白	As(ref)	0	mg/L	15.531	3
STD BLK	空白	As(ref)	0	mg/L	25.169	3
STD BLK	空白	As(ref)	0	mg/L	7.8568	3
STD BLK	空白	As(ref)	0	mg/L	67.263	3
STD BLK	空白	B	0	mg/L	27.033	3
STD BLK	空白	B(ref)	0	mg/L	27.033	3
STD BLK	空白	B(ref)	0	mg/L	71.174	3
STD BLK	空白	B(ref)	0	mg/L	115.45	3
STD BLK	空白	Ba	0	mg/L	90.489	3
STD BLK	空白	Ba(ref)	0	mg/L	64.681	3
STD BLK	空白	Ba(ref)	0	mg/L	90.489	3
STD BLK	空白	Ba(ref)	0	mg/L	1843.7	3
STD BLK	空白	Ba(ref)	0	mg/L	1712.9	3
STD BLK	空白	Ca	0	mg/L	410680	3
STD BLK	空白	Ca(ref)	0	mg/L	4538.2	3
STD BLK	空白	Ca(ref)	0	mg/L	269500	3
STD BLK	空白	Ca(ref)	0	mg/L	410680	3
STD BLK	空白	Ca(ref)	0	mg/L	10639	3
STD BLK	空白	Cd	0	mg/L	665.82	3
STD BLK	空白	Cd(ref)	0	mg/L	629.33	3
STD BLK	空白	Cd(ref)	0	mg/L	781.18	3
STD BLK	空白	Cd(ref)	0	mg/L	665.82	3
STD BLK	空白	Cd(ref)	0	mg/L	240.04	3
STD BLK	空白	Cd(ref)	0	mg/L	85.321	3
STD BLK	空白	Co	0	mg/L	22.863	3
STD BLK	空白	Co(ref)	0	mg/L	37.281	3
STD BLK	空白	Co(ref)	0	mg/L	6.3552	3
STD BLK	空白	Co(ref)	0	mg/L	22.863	3
STD BLK	空白	Cr	0	mg/L	223.84	3
STD BLK	空白	Cr(ref)	0	mg/L	45.528	3
STD BLK	空白	Cr(ref)	0	mg/L	18.018	3
STD BLK	空白	Cr(ref)	0	mg/L	223.84	3
STD BLK	空白	Cu	0	mg/L	441.23	3
STD BLK	空白	Cu(ref)	0	mg/L	66.12	3
STD BLK	空白	Cu(ref)	0	mg/L	1001.4	3
STD BLK	空白	Cu(ref)	0	mg/L	441.23	3
STD BLK	空白	Fe	0	mg/L	733.34	3
STD BLK	空白	Fe(ref)	0	mg/L	385.88	3
STD BLK	空白	Fe(ref)	0	mg/L	733.34	3
