""
"标签","类型","元素","元素标签","浓度","单位","强度","重复项"
"STD BLK","空白","Al 396.152","Al","0.00000","mg/L","2795.60000","3"
"STD BLK","空白","Al 394.401","Al(ref)","0.00000","mg/L","1256.60000","3"
"STD BLK","空白","Al 396.152","Al(ref)","0.00000","mg/L","2795.60000","3"
"STD BLK","空白","As 188.980","As","0.00000","mg/L","15.59300","3"
"STD BLK","空白","As 188.980","As(ref)","0.00000","mg/L","15.59300","3"
"STD BLK","空白","As 193.696","As(ref)","0.00000","mg/L","14.64100","3"
"STD BLK","空白","As 197.198","As(ref)","0.00000","mg/L","15.47200","3"
"STD BLK","空白","As 234.984","As(ref)","0.00000","mg/L","70.98000","3"
"STD BLK","空白","B 208.956","B","0.00000","mg/L","16.91900","3"
"STD BLK","空白","B 208.956","B(ref)","0.00000","mg/L","16.91900","3"
"STD BLK","空白","B 249.678","B(ref)","0.00000","mg/L","94.09600","3"
"STD BLK","空白","B 249.772","B(ref)","0.00000","mg/L","201.70000","3"
"STD BLK","空白","Ba 233.527","Ba","0.00000","mg/L","3174.90000","3"
"STD BLK","空白","Ba 230.424","Ba(ref)","0.00000","mg/L","1957.80000","3"
"STD BLK","空白","Ba 233.527","Ba(ref)","0.00000","mg/L","3174.90000","3"
"STD BLK","空白","Ba 493.408","Ba(ref)","0.00000","mg/L","77141.00000","3"
"STD BLK","空白","Ba 614.171","Ba(ref)","0.00000","mg/L","70094.00000","3"
"STD BLK","空白","Ca 396.847","Ca","####","mg/L","####","3"
"STD BLK","空白","Ca 317.933","Ca(ref)","0.00000","mg/L","666890.00000","3"
"STD BLK","空白","Ca 393.366","Ca(ref)","####","mg/L","####","3"
"STD BLK","空白","Ca 396.847","Ca(ref)","####","mg/L","####","3"
"STD BLK","空白","Ca 422.673","Ca(ref)","0.00000","mg/L","2208900.00000","3"
"STD BLK","空白","Cd 228.802","Cd","0.00000","mg/L","97.24900","3"
"STD BLK","空白","Cd 214.439","Cd(ref)","0.00000","mg/L","70.99800","3"
"STD BLK","空白","Cd 226.502","Cd(ref)","0.00000","mg/L","95.28900","3"
"STD BLK","空白","Cd 228.802","Cd(ref)","0.00000","mg/L","97.24900","3"
"STD BLK","空白","Cd 326.105","Cd(ref)","0.00000","mg/L","224.70000","3"
"STD BLK","空白","Cd 508.582","Cd(ref)","0.00000","mg/L","25.03400","3"
"STD BLK","空白","Co 237.863","Co","0.00000","mg/L","25.98700","3"
"STD BLK","空白","Co 228.615","Co(ref)","0.00000","mg/L","35.72000","3"
"STD BLK","空白","Co 230.786","Co(ref)","0.00000","mg/L","13.80900","3"
"STD BLK","空白","Co 237.863","Co(ref)","0.00000","mg/L","25.98700","3"
"STD BLK","空白","Cr 267.716","Cr","0.00000","mg/L","570.00000","3"
"STD BLK","空白","Cr 205.560","Cr(ref)","0.00000","mg/L","114.46000","3"
"STD BLK","空白","Cr 206.158","Cr(ref)","0.00000","mg/L","34.31400","3"
"STD BLK","空白","Cr 267.716","Cr(ref)","0.00000","mg/L","570.00000","3"
"STD BLK","空白","Cu 327.395","Cu","0.00000","mg/L","1254.30000","3"
"STD BLK","空白","Cu 213.598","Cu(ref)","0.00000","mg/L","175.57000","3"
"STD BLK","空白","Cu 324.754","Cu(ref)","0.00000","mg/L","2101.70000","3"
"STD BLK","空白","Cu 327.395","Cu(ref)","0.00000","mg/L","1254.30000","3"
"STD BLK","空白","Fe 238.204","Fe","--","mg/L","-","3"
"STD BLK","空白","Fe 234.350","Fe(ref)","0.00000","mg/L","9426.40000","3"
"STD BLK","空白","Fe 238.204","Fe(ref)","0.00000","mg/L","20520.00000","3"
"STD BLK","空白","Fe 259.940","Fe(ref)","0.00000","mg/L","10162.00000","3"
"STD BLK","空白","Hg 184.887","Hg","0.00000","mg/L","9.11850","3"
"STD BLK","空白","Hg 184.887","Hg(ref)","0.00000","mg/L","9.11850","3"
"STD BLK","空白","Hg 194.164","Hg(ref)","0.00000","mg/L","12.90500","3"
"STD BLK","空白","Hg 253.652","Hg(ref)","0.00000","mg/L","4.54240","3"
"STD BLK","空白","K 766.491","K","--","mg/L","-","3"
"STD BLK","空白","K 404.414","K(ref)","0.00000","mg/L","-5406.60000","3"
"STD BLK","空白","K 404.721","K(ref)","0.00000","mg/L","85.60900","3"
"STD BLK","空白","K 693.876","K(ref)","0.00000","mg/L","12304.00000","3"
"STD BLK","空白","K 766.491","K(ref)","0.00000","mg/L","82137.00000","3"
"STD BLK","空白","K 769.897","K(ref)","0.00000","mg/L","87684.00000","3"
"STD BLK","空白","Mg 279.553","Mg","0.00000","mg/L","2426700.00000","3"
"STD BLK","空白","Mg 279.553","Mg(ref)","0.00000","mg/L","2426700.00000","3"
"STD BLK","空白","Mg 279.800","Mg(ref)","0.00000","mg/L","9898.00000","3"
"STD BLK","空白","Mg 280.270","Mg(ref)","0.00000","mg/L","572150.00000","3"
"STD BLK","空白","Mg 285.213","Mg(ref)","0.00000","mg/L","93619.00000","3"
"STD BLK","空白","Mn 257.610","Mn","0.00000","mg/L","802.75000","3"
"STD BLK","空白","Mn 257.610","Mn(ref)","0.00000","mg/L","802.75000","3"
"STD BLK","空白","Mn 259.372","Mn(ref)","0.00000","mg/L","455.74000","3"
"STD BLK","空白","Mn 260.568","Mn(ref)","0.00000","mg/L","74.51600","3"
"STD BLK","空白","Mo 201.512","Mo","0.00000","mg/L","21.87800","3"
"STD BLK","空白","Mo 201.512","Mo(ref)","0.00000","mg/L","21.87800","3"
"STD BLK","空白","Mo 202.032","Mo(ref)","0.00000","mg/L","55.92300","3"
"STD BLK","空白","Mo 204.598","Mo(ref)","0.00000","mg/L","34.62000","3"
"STD BLK","空白","Na 589.592","Na","--","mg/L","-","3"
"STD BLK","空白","Na 568.263","Na(ref)","0.00000","mg/L","17764.00000","3"
"STD BLK","空白","Na 568.821","Na(ref)","0.00000","mg/L","1555.60000","3"
"STD BLK","空白","Na 588.995","Na(ref)","0.00000","mg/L","1550000.00000","3"
"STD BLK","空白","Na 589.592","Na(ref)","0.00000","mg/L","789490.00000","3"
"STD BLK","空白","Ni 231.604","Ni","0.00000","mg/L","36.03100","3"
"STD BLK","空白","Ni 216.555","Ni(ref)","0.00000","mg/L","43.63900","3"
"STD BLK","空白","Ni 221.648","Ni(ref)","0.00000","mg/L","15.53300","3"
"STD BLK","空白","Ni 231.604","Ni(ref)","0.00000","mg/L","36.03100","3"
"STD BLK","空白","Pb 220.353","Pb","0.00000","mg/L","27.30600","3"
"STD BLK","空白","Pb 220.353","Pb","0.00000","mg/L","35.55100","3"
"STD BLK","空白","Pb 182.143","Pb(ref)","0.00000","mg/L","14.53900","3"
"STD BLK","空白","Pb 217.000","Pb(ref)","0.00000","mg/L","14.93800","3"
"STD BLK","空白","Pb 220.353","Pb(ref)","0.00000","mg/L","27.30600","3"
"STD BLK","空白","Pb 261.417","Pb(ref)","0.00000","mg/L","22.54500","3"
"STD BLK","空白","Pb 283.305","Pb(ref)","0.00000","mg/L","65.23400","3"
"STD BLK","空白","Pb 363.957","Pb(ref)","0.00000","mg/L","11.08900","3"
"STD BLK","空白","Pb 405.781","Pb(ref)","0.00000","mg/L","59.32100","3"
"STD BLK","空白","Sb 206.834","Sb","0.00000","mg/L","28.92200","3"
"STD BLK","空白","Sb 206.834","Sb(ref)","0.00000","mg/L","28.92200","3"
"STD BLK","空白","Sb 217.582","Sb(ref)","0.00000","mg/L","16.70800","3"
"STD BLK","空白","Sb 231.146","Sb(ref)","0.00000","mg/L","11.49400","3"
"STD BLK","空白","Sc 255.235","Sc","1.00","比值","18.15","3"
"STD BLK","空白","Sc 335.372","Sc","1.00","比值","154.11","3"
"STD BLK","空白","Sc 361.383","Sc","1.00","比值","55.92","3"
"STD BLK","空白","Se 196.026","Se","--","mg/L","-","3"
"STD BLK","空白","Se 196.026","Se(ref)","0.00000","mg/L","18.78700","3"
"STD BLK","空白","Se 203.985","Se(ref)","0.00000","mg/L","14.73900","3"
"STD BLK","空白","Sn 189.925","Sn","--","mg/L","-","3"
"STD BLK","空白","Sn 189.925","Sn(ref)","0.00000","mg/L","462.78000","3"
"STD BLK","空白","Sn 235.485","Sn(ref)","0.00000","mg/L","251.49000","3"
"STD BLK","空白","Sn 283.998","Sn(ref)","0.00000","mg/L","741.04000","3"
"STD BLK","空白","Sr 407.771","Sr","--","mg/L","-","3"
"STD BLK","空白","Sr 407.771","Sr(ref)","0.00000","mg/L","830520.00000","3"
"STD BLK","空白","Sr 421.552","Sr(ref)","0.00000","mg/L","313890.00000","3"
"STD BLK","空白","Sr 460.733","Sr(ref)","0.00000","mg/L","19768.00000","3"
"STD BLK","空白","Ti 336.122","Ti","0.00000","mg/L","3659.10000","3"
"STD BLK","空白","Ti 334.941","Ti(ref)","0.00000","mg/L","7632.10000","3"
"STD BLK","空白","Ti 336.122","Ti(ref)","0.00000","mg/L","3659.10000","3"
"STD BLK","空白","Ti 337.280","Ti(ref)","0.00000","mg/L","1331.00000","3"
"STD BLK","空白","Y 324.228","Y","1.00000","比值","132590.00000","3"
"STD BLK","空白","Y 360.074","Y","1.00000","比值","249260.00000","3"
"STD BLK","空白","Y 371.029","Y","1.00000","比值","165750.00000","3"
"STD BLK","空白","Zn 202.548","Zn","--","mg/L","-","3"
"STD BLK","空白","Zn 202.548","Zn(ref)","0.00000","mg/L","1316.80000","3"
"STD BLK","空白","Zn 206.200","Zn(ref)","0.00000","mg/L","213.16000","3"
"STD BLK","空白","Zr 339.198","Zr","0.00000","mg/L","777.41000","3"
"STD BLK","空白","Zr 339.198","Zr(ref)","0.00000","mg/L","777.41000","3"
"STD BLK","空白","Zr 343.823","Zr(ref)","0.00000","mg/L","1005.50000","3"
"STD BLK","空白","Zr 349.619","Zr(ref)","0.00000","mg/L","14798.00000","3"
"STD 0.04","标样","Al 396.152","Al","0.04000","mg/L","4162.40000","3"
"STD 0.04","标样","Al 394.401","Al(ref)","0.04000","mg/L","1601.50000","3"
"STD 0.04","标样","Al 396.152","Al(ref)","0.04000","mg/L","4219.80000","3"
"STD 0.04","标样","As 188.980","As","0.04000","mg/L","48.13700","3"
"STD 0.04","标样","As 188.980","As(ref)","0.04000","mg/L","48.78900","3"
"STD 0.04","标样","As 193.696","As(ref)","0.04000","mg/L","46.40100","3"
"STD 0.04","标样","As 197.198","As(ref)","0.04000","mg/L","16.86500","3"
"STD 0.04","标样","As 234.984","As(ref)","0.04000","mg/L","88.28200","3"
"STD 0.04","标样","B 208.956","B","0.04000","mg/L","99.52000","3"
"STD 0.04","标样","B 208.956","B(ref)","0.04000","mg/L","100.95000","3"
"STD 0.04","标样","B 249.678","B(ref)","0.04000","mg/L","994.91000","3"
"STD 0.04","标样","B 249.772","B(ref)","0.04000","mg/L","1851.40000","3"
"STD 0.04","标样","Ba 233.527","Ba","0.04000","mg/L","3268.60000","3"
"STD 0.04","标样","Ba 230.424","Ba(ref)","0.04000","mg/L","2142.60000","3"
"STD 0.04","标样","Ba 233.527","Ba(ref)","0.04000","mg/L","3316.90000","3"
"STD 0.04","标样","Ba 493.408","Ba(ref)","0.04000","mg/L","86961.00000","3"
"STD 0.04","标样","Ba 614.171","Ba(ref)","0.04000","mg/L","58473.00000","3"
"STD 0.04","标样","Ca 396.847","Ca","--","mg/L","-","3"
"STD 0.04","标样","Ca 317.933","Ca(ref)","0.04000","mg/L","24179.00000","3"
"STD 0.04","标样","Ca 393.366","Ca(ref)","0.04000","mg/L","2015300.00000","3"
"STD 0.04","标样","Ca 396.847","Ca(ref)","0.04000","mg/L","3135600.00000","3"
"STD 0.04","标样","Ca 422.673","Ca(ref)","0.04000","mg/L","79648.00000","3"
"STD 0.04","标样","Cd 228.802","Cd","0.04000","mg/L","1290.50000","3"
"STD 0.04","标样","Cd 214.439","Cd(ref)","0.04000","mg/L","1094.70000","3"
"STD 0.04","标样","Cd 226.502","Cd(ref)","0.04000","mg/L","1459.30000","3"
"STD 0.04","标样","Cd 228.802","Cd(ref)","0.04000","mg/L","1309.50000","3"
"STD 0.04","标样","Cd 326.105","Cd(ref)","0.04000","mg/L","271.94000","3"
"STD 0.04","标样","Cd 508.582","Cd(ref)","0.04000","mg/L","149.85000","3"
"STD 0.04","标样","Co 237.863","Co","0.04000","mg/L","464.74000","3"
"STD 0.04","标样","Co 228.615","Co(ref)","0.04000","mg/L","747.01000","3"
"STD 0.04","标样","Co 230.786","Co(ref)","0.04000","mg/L","491.44000","3"
"STD 0.04","标样","Co 237.863","Co(ref)","0.04000","mg/L","471.47000","3"
