Determination start,Method name,ID1.Value,ID2.Value,RS01.Name,RS01.Value,RS02.Name,RS02.Value,Lab TEMP,[DELTA]ph
 ,,,,,,,,,
2018-11-29 09:46:18 UTC+8,pH Cal,Standard,,,,,,23.6,0
2018-11-29 09:50:00 UTC+8,pH Measure,CC,,pH,5,T,21.8,,
2018-11-29 13:04:36 UTC+8,pH Measure,BLK,before,pH,6.72,T,23,,
2018-11-29 13:06:23 UTC+8,pH Measure,BLK,after,pH,6.85,T,23.2,,
2018-11-29 13:07:14 UTC+8,pH Measure,1,27239/1,pH,6.74,T,23.2,,
2018-11-29 13:07:29 UTC+8,pH Measure,1,27239/1A,pH,6.74,T,23.2,,
2018-11-29 13:07:47 UTC+8,pH Measure,1,27239/1B,pH,6.74,T,23.2,,
2018-11-29 13:07:54 UTC+8,pH Measure,2,27245/19,pH,7.17,T,23.3,,
2018-11-29 13:08:50 UTC+8,pH Measure,2,27245/19A,pH,7.17,T,23.3,,
2018-11-29 13:08:57 UTC+8,pH Measure,2,27245/19B,pH,7.18,T,23.3,,
2018-11-29 13:09:11 UTC+8,pH Measure,3,27245/33,pH,7.59,T,23.3,,
2018-11-29 13:12:24 UTC+8,pH Measure,3,27245/33A,pH,7.6,T,23.3,,
2018-11-29 13:12:32 UTC+8,pH Measure,3,27245/33B,pH,7.61,T,23.4,,
2018-11-29 13:12:39 UTC+8,pH Measure,4,27199/2,pH,7.06,T,23.4,,
2018-11-29 13:13:56 UTC+8,pH Measure,4,27199/2A,pH,7.05,T,23.4,,
2018-11-29 13:14:10 UTC+8,pH Measure,4,27199/2B,pH,7.04,T,23.4,,
2018-11-29 13:14:23 UTC+8,pH Measure,5,27199/11,pH,6.97,T,23.4,,
2018-11-29 13:14:37 UTC+8,pH Measure,5,27199/11A,pH,6.97,T,23.4,,
2018-11-29 13:14:49 UTC+8,pH Measure,5,27199/11B,pH,6.97,T,23.4,,
2018-11-29 13:14:55 UTC+8,pH Measure,6,27205/4,pH,6.92,T,23.3,,
2018-11-29 13:15:35 UTC+8,pH Measure,6,27205/4A,pH,6.94,T,23.3,,
2018-11-29 13:16:53 UTC+8,pH Measure,6,27205/4B,pH,6.94,T,23.3,,
2018-11-29 13:17:47 UTC+8,pH Measure,7,27205/7,pH,6.78,T,23.2,,
2018-11-29 13:18:48 UTC+8,pH Measure,7,27205/7A,pH,6.8,T,23.2,,
2018-11-29 13:19:18 UTC+8,pH Measure,7,27205/7B,pH,6.8,T,23.2,,
2018-11-29 13:19:25 UTC+8,pH Measure,8,27235/1,pH,7.32,T,22.8,,
2018-11-29 13:29:17 UTC+8,pH Measure,8,27235/1A,pH,7.34,T,22.9,,
2018-11-29 13:29:44 UTC+8,pH Measure,8,27235/1B,pH,7.34,T,23,,
2018-11-29 13:29:53 UTC+8,pH Measure,9,27235/3,pH,7.69,T,23.2,,
2018-11-29 13:30:31 UTC+8,pH Measure,9,27235/3A,pH,7.69,T,23.2,,
2018-11-29 13:30:38 UTC+8,pH Measure,9,27235/3B,pH,7.7,T,23.2,,
2018-11-29 13:30:45 UTC+8,pH Measure,10,27235/5,pH,7.29,T,23.3,,
2018-11-29 13:31:42 UTC+8,pH Measure,10,27235/5A,pH,7.28,T,23.3,,
2018-11-29 13:31:49 UTC+8,pH Measure,10,27235/5B,pH,7.28,T,23.3,,
2018-11-29 13:31:56 UTC+8,pH Measure,11,27235/7,pH,7.31,T,23.3,,
2018-11-29 13:32:29 UTC+8,pH Measure,11,27235/7A,pH,7.32,T,23.3,,
2018-11-29 13:32:40 UTC+8,pH Measure,11,27235/7B,pH,7.32,T,23.3,,
2018-11-29 13:32:46 UTC+8,pH Measure,12,27237/1,pH,7.92,T,23.3,,
2018-11-29 13:34:06 UTC+8,pH Measure,12,27237/1A,pH,7.93,T,23.3,,
2018-11-29 13:34:19 UTC+8,pH Measure,12,27237/1B,pH,7.94,T,23.4,,
2018-11-29 13:34:28 UTC+8,pH Measure,13,27237/5,pH,7.27,T,23.3,,
2018-11-29 13:36:19 UTC+8,pH Measure,13,27237/5A,pH,7.26,T,23.3,,
2018-11-29 13:36:35 UTC+8,pH Measure,13,27237/5B,pH,7.25,T,23.3,,
2018-11-29 13:36:42 UTC+8,pH Measure,14,27237/7,pH,7.32,T,23.3,,
2018-11-29 13:36:56 UTC+8,pH Measure,14,27237/7A,pH,7.32,T,23.3,,
2018-11-29 13:37:08 UTC+8,pH Measure,14,27237/7B,pH,7.33,T,23.3,,
2018-11-29 13:37:17 UTC+8,pH Measure,15,27240/18,pH,5.24,T,23.1,,
2018-11-29 13:37:59 UTC+8,pH Measure,15,27240/18A,pH,5.23,T,23.2,,
2018-11-29 13:38:13 UTC+8,pH Measure,15,27240/18B,pH,5.23,T,23.2,,
2018-11-29 13:38:21 UTC+8,pH Measure,16,26982/3,pH,6.77,T,23.4,,
2018-11-29 13:39:57 UTC+8,pH Measure,16,26982/3A,pH,6.78,T,23.4,,
2018-11-29 13:40:08 UTC+8,pH Measure,16,26982/3B,pH,6.79,T,23.4,,
2018-11-29 13:40:24 UTC+8,pH Measure,17,26982/4,pH,6.96,T,23.4,,
2018-11-29 13:41:41 UTC+8,pH Measure,17,26982/4A,pH,6.96,T,23.4,,
2018-11-29 13:41:49 UTC+8,pH Measure,17,26982/4B,pH,6.96,T,23.4,,
2018-11-29 13:41:56 UTC+8,pH Measure,18,26982/5,pH,7.31,T,23.4,,
2018-11-29 13:42:43 UTC+8,pH Measure,18,26982/5A,pH,7.33,T,23.4,,
2018-11-29 13:43:19 UTC+8,pH Measure,18,26982/5B,pH,7.33,T,23.4,,
2018-11-29 13:43:33 UTC+8,pH Measure,19,27095/4,pH,6.91,T,23.4,,
2018-11-29 13:44:12 UTC+8,pH Measure,19,27095/4A,pH,6.89,T,23.4,,
